pid,artist,location,medium,_date,original source,source title,source description,figures present,archive,social analysis,geographic & landscape analysis,order,layout,collection,thumbnail,full,manifest
object10,"",309 N. 33rd Street,"","March 10, 2019","",Activist and Comedian Visit MOVE Headquarters,Political activist Dick Gregory (right) gets ready to leave MOVE headquarters after talking with Delbert Africa (left).,Delbert Africa and Dick Gregory ,TU DA,"","",09,movearchive_item,movearchive,"","",""
object2,Donald Camp,309 N. 33rd Street,image,August 1978,Philadelphia Evening Bulleting,"",Site of MOVE house,"",Temple Special Collections Research Center (TUSCRC),"","",01,movearchive_item,movearchive,"/img/derivatives/iiif/images/object2/full/250,/0/default.jpg",/img/derivatives/iiif/images/object2/full/full/0/default.jpg,/img/derivatives/iiif/object2/manifest.json
object3,Donald Camp,309 N. 33rd Street,image,"April 7, 1975",Philadelphia Evening Bulletin,"",MOVE,"",TUDA,"","",02,movearchive_item,movearchive,"/img/derivatives/iiif/images/object3/full/250,/0/default.jpg",/img/derivatives/iiif/images/object3/full/full/0/default.jpg,/img/derivatives/iiif/object3/manifest.json
object4,Undocumented,309 N. 33rd Street,image,"May 29, 1975",Bulletin ,"",Supporters pass jugs of water over barricade to MOVE members at their headquarters on N 33rd St.,"",TUDA,"","",03,movearchive_item,movearchive,"/img/derivatives/iiif/images/object4/full/250,/0/default.jpg",/img/derivatives/iiif/images/object4/full/full/0/default.jpg,/img/derivatives/iiif/object4/manifest.json
object5,"","",image,"May 29, 1977","","",MOVE member holds child near home.,Debbie Africa and Janine Africa ,TUDA,"","",04,movearchive_item,movearchive,"/img/derivatives/iiif/images/object5/full/250,/0/default.jpg",/img/derivatives/iiif/images/object5/full/full/0/default.jpg,/img/derivatives/iiif/object5/manifest.json
object6,William J Storm and Carol J Ritch,Powelton Ave and 33rd street ,newspaper article,"August 9, 1978",Bulletin,MOVE Fortress Gone,"        
","",TU SCRC ,"","",05,movearchive_item,movearchive,"/img/derivatives/iiif/images/object6/full/250,/0/default.jpg",/img/derivatives/iiif/images/object6/full/full/0/default.jpg,/img/derivatives/iiif/object6/manifest.json
object8,Bulletin Staff,309 N. 33rd Street,newspaper article,"March 18, 1978",PEB,Oneill Angry at Elderly Woman???s Breach,"quote: """"","",TU SCRC,"","",07,movearchive_item,movearchive,"/img/derivatives/iiif/images/object8/full/250,/0/default.jpg",/img/derivatives/iiif/images/object8/full/full/0/default.jpg,/img/derivatives/iiif/object8/manifest.json
object7 ,Undocumented,309 N. 33rd Street,image,"March 16, 1978",PEB,MOVE Blockade Broken,Philadelphia police officer is startled as elderly woman walked past barricade and hands papers bag of supplies tup to members of MOVE.,"",TU DA,"","",06,movearchive_item,movearchive,"","",""
object9 ,Jon Falk ,309 N. 33rd Street,image,"","","","","","","","",08,movearchive_item,movearchive,"","",""
object1,Anthony Bernato,309 N. 33rd Street,image,"December 31, 1975",Philadelphia Evening Bulletin,"","""MOVE members to be evicted""","",Temple University Digital Archives (TUDA),"","",00,movearchive_item,movearchive,"/img/derivatives/iiif/images/object1/full/250,/0/default.jpg",/img/derivatives/iiif/images/object1/full/full/0/default.jpg,/img/derivatives/iiif/object1/manifest.json
